fullname,identifier,fsf_free,osi_approved,url
GNU General Public License v1.0 only,GPL-1.0-only,,,https://spdx.org/licenses/GPL-1.0-only.html
GNU General Public License v1.0 or later,GPL-1.0-or-later,,,https://spdx.org/licenses/GPL-1.0-or-later.html
GNU General Public License v2.0 only,GPL-2.0-only,Y,Y,https://spdx.org/licenses/GPL-2.0-only.html
GNU General Public License v2.0 or later,GPL-2.0-or-later,Y,Y,https://spdx.org/licenses/GPL-2.0-or-later.html
GNU General Public License v3.0 only,GPL-3.0-only,Y,Y,https://spdx.org/licenses/GPL-3.0-only.html
GNU General Public License v3.0 or later,GPL-3.0-or-later,Y,Y,https://spdx.org/licenses/GPL-3.0-or-later.html
Graphics Gems License,Graphics-Gems,,,https://spdx.org/licenses/Graphics-Gems.html
gSOAP Public License v1.3b,gSOAP-1.3b,,,https://spdx.org/licenses/gSOAP-1.3b.html
Haskell Language Report License,HaskellReport,,,https://spdx.org/licenses/HaskellReport.html
Hippocratic License 2.1,Hippocratic-2.1,,,https://spdx.org/licenses/Hippocratic-2.1.html
Hewlett-Packard 1986 License,HP-1986,,,https://spdx.org/licenses/HP-1986.html
Historical Permission Notice and Disclaimer,HPND,Y,Y,https://spdx.org/licenses/HPND.html
HPND with US Government export control warning,HPND-export-US,,,https://spdx.org/licenses/HPND-export-US.html
Historical Permission Notice and Disclaimer - Markus Kuhn variant,HPND-Markus-Kuhn,,,https://spdx.org/licenses/HPND-Markus-Kuhn.html
Historical Permission Notice and Disclaimer - sell variant,HPND-sell-variant,,,https://spdx.org/licenses/HPND-sell-variant.html
HPND sell variant with MIT disclaimer,HPND-sell-variant-MIT-disclaimer,,,https://spdx.org/licenses/HPND-sell-variant-MIT-disclaimer.html
HTML Tidy License,HTMLTIDY,,,https://spdx.org/licenses/HTMLTIDY.html
IBM PowerPC Initialization and Boot Software,IBM-pibs,,,https://spdx.org/licenses/IBM-pibs.html
ICU License,ICU,,,https://spdx.org/licenses/ICU.html
IEC Code Components End-user licence agreement,IEC-Code-Components-EULA,,,https://spdx.org/licenses/IEC-Code-Components-EULA.html
Independent JPEG Group License,IJG,Y,,https://spdx.org/licenses/IJG.html
Independent JPEG Group License - short,IJG-short,,,https://spdx.org/licenses/IJG-short.html
ImageMagick License,ImageMagick,,,https://spdx.org/licenses/ImageMagick.html
iMatix Standard Function Library Agreement,iMatix,Y,,https://spdx.org/licenses/iMatix.html
Imlib2 License,Imlib2,Y,,https://spdx.org/licenses/Imlib2.html
Info-ZIP License,Info-ZIP,,,https://spdx.org/licenses/Info-ZIP.html
Intel Open Source License,Intel,Y,Y,https://spdx.org/licenses/Intel.html
Intel ACPI Software License Agreement,Intel-ACPI,,,https://spdx.org/licenses/Intel-ACPI.html
Interbase Public License v1.0,Interbase-1.0,,,https://spdx.org/licenses/Interbase-1.0.html
IPA Font License,IPA,Y,Y,https://spdx.org/licenses/IPA.html
IBM Public License v1.0,IPL-1.0,Y,Y,https://spdx.org/licenses/IPL-1.0.html
ISC License,ISC,Y,Y,https://spdx.org/licenses/ISC.html
Jam License,Jam,,Y,https://spdx.org/licenses/Jam.html
JasPer License,JasPer-2.0,,,https://spdx.org/licenses/JasPer-2.0.html
JPL Image Use Policy,JPL-image,,,https://spdx.org/licenses/JPL-image.html
Japan Network Information Center License,JPNIC,,,https://spdx.org/licenses/JPNIC.html
JSON License,JSON,,,https://spdx.org/licenses/JSON.html
Kazlib License,Kazlib,,,https://spdx.org/licenses/Kazlib.html
Knuth CTAN License,Knuth-CTAN,,,https://spdx.org/licenses/Knuth-CTAN.html
Licence Art Libre 1.2,LAL-1.2,,,https://spdx.org/licenses/LAL-1.2.html
Licence Art Libre 1.3,LAL-1.3,,,https://spdx.org/licenses/LAL-1.3.html
Latex2e License,Latex2e,,,https://spdx.org/licenses/Latex2e.html
Leptonica License,Leptonica,,,https://spdx.org/licenses/Leptonica.html
GNU Library General Public License v2 only,LGPL-2.0-only,,Y,https://spdx.org/licenses/LGPL-2.0-only.html
GNU Library General Public License v2 or later,LGPL-2.0-or-later,,Y,https://spdx.org/licenses/LGPL-2.0-or-later.html
GNU Lesser General Public License v2.1 only,LGPL-2.1-only,Y,Y,https://spdx.org/licenses/LGPL-2.1-only.html
GNU Lesser General Public License v2.1 or later,LGPL-2.1-or-later,Y,Y,https://spdx.org/licenses/LGPL-2.1-or-later.html
GNU Lesser General Public License v3.0 only,LGPL-3.0-only,Y,Y,https://spdx.org/licenses/LGPL-3.0-only.html
GNU Lesser General Public License v3.0 or later,LGPL-3.0-or-later,Y,Y,https://spdx.org/licenses/LGPL-3.0-or-later.html
Lesser General Public License For Linguistic Resources,LGPLLR,,,https://spdx.org/licenses/LGPLLR.html
libpng License,Libpng,,,https://spdx.org/licenses/Libpng.html
PNG Reference Library version 2,libpng-2.0,,,https://spdx.org/licenses/libpng-2.0.html
libselinux public domain notice,libselinux-1.0,,,https://spdx.org/licenses/libselinux-1.0.html
libtiff License,libtiff,,,https://spdx.org/licenses/libtiff.html
libutil David Nugent License,libutil-David-Nugent,,,https://spdx.org/licenses/libutil-David-Nugent.html
Licence Libre du Québec – Permissive version 1.1,LiLiQ-P-1.1,,Y,https://spdx.org/licenses/LiLiQ-P-1.1.html
Licence Libre du Québec – Réciprocité version 1.1,LiLiQ-R-1.1,,Y,https://spdx.org/licenses/LiLiQ-R-1.1.html
Licence Libre du Québec – Réciprocité forte version 1.1,LiLiQ-Rplus-1.1,,Y,https://spdx.org/licenses/LiLiQ-Rplus-1.1.html
Linux man-pages Copyleft,Linux-man-pages-copyleft,,,https://spdx.org/licenses/Linux-man-pages-copyleft.html
Linux Kernel Variant of OpenIB.org license,Linux-OpenIB,,,https://spdx.org/licenses/Linux-OpenIB.html
Common Lisp LOOP License,LOOP,,,https://spdx.org/licenses/LOOP.html
Lucent Public License Version 1.0,LPL-1.0,,Y,https://spdx.org/licenses/LPL-1.0.html
Lucent Public License v1.02,LPL-1.02,Y,Y,https://spdx.org/licenses/LPL-1.02.html
LaTeX Project Public License v1.0,LPPL-1.0,,,https://spdx.org/licenses/LPPL-1.0.html
LaTeX Project Public License v1.1,LPPL-1.1,,,https://spdx.org/licenses/LPPL-1.1.html
LaTeX Project Public License v1.2,LPPL-1.2,Y,,https://spdx.org/licenses/LPPL-1.2.html
LaTeX Project Public License v1.3a,LPPL-1.3a,Y,,https://spdx.org/licenses/LPPL-1.3a.html
LaTeX Project Public License v1.3c,LPPL-1.3c,,Y,https://spdx.org/licenses/LPPL-1.3c.html
LZMA SDK License (versions 9.11 to 9.20),LZMA-SDK-9.11-to-9.20,,,https://spdx.org/licenses/LZMA-SDK-9.11-to-9.20.html
LZMA SDK License (versions 9.22 and beyond),LZMA-SDK-9.22,,,https://spdx.org/licenses/LZMA-SDK-9.22.html
MakeIndex License,MakeIndex,,,https://spdx.org/licenses/MakeIndex.html
Martin Birgmeier License,Martin-Birgmeier,,,https://spdx.org/licenses/Martin-Birgmeier.html
Minpack License,Minpack,,,https://spdx.org/licenses/Minpack.html
The MirOS Licence,MirOS,,Y,https://spdx.org/licenses/MirOS.html
MIT License,MIT,Y,Y,https://spdx.org/licenses/MIT.html
MIT No Attribution,MIT-0,,Y,https://spdx.org/licenses/MIT-0.html
Enlightenment License (e16),MIT-advertising,,,https://spdx.org/licenses/MIT-advertising.html
CMU License,MIT-CMU,,,https://spdx.org/licenses/MIT-CMU.html
enna License,MIT-enna,,,https://spdx.org/licenses/MIT-enna.html
feh License,MIT-feh,,,https://spdx.org/licenses/MIT-feh.html
MIT License Modern Variant,MIT-Modern-Variant,,Y,https://spdx.org/licenses/MIT-Modern-Variant.html
MIT Open Group variant,MIT-open-group,,,https://spdx.org/licenses/MIT-open-group.html
MIT Tom Wu Variant,MIT-Wu,,,https://spdx.org/licenses/MIT-Wu.html
MIT +no-false-attribs license,MITNFA,,,https://spdx.org/licenses/MITNFA.html
Motosoto License,Motosoto,,Y,https://spdx.org/licenses/Motosoto.html
mpi Permissive License,mpi-permissive,,,https://spdx.org/licenses/mpi-permissive.html
mpich2 License,mpich2,,,https://spdx.org/licenses/mpich2.html
Mozilla Public License 1.0,MPL-1.0,,Y,https://spdx.org/licenses/MPL-1.0.html
Mozilla Public License 1.1,MPL-1.1,Y,Y,https://spdx.org/licenses/MPL-1.1.html
Mozilla Public License 2.0,MPL-2.0,Y,Y,https://spdx.org/licenses/MPL-2.0.html
Mozilla Public License 2.0 (no copyleft exception),MPL-2.0-no-copyleft-exception,,Y,https://spdx.org/licenses/MPL-2.0-no-copyleft-exception.html
mplus Font License,mplus,,,https://spdx.org/licenses/mplus.html
Microsoft Limited Public License,MS-LPL,,,https://spdx.org/licenses/MS-LPL.html
Microsoft Public License,MS-PL,Y,Y,https://spdx.org/licenses/MS-PL.html
Microsoft Reciprocal License,MS-RL,Y,Y,https://spdx.org/licenses/MS-RL.html
Matrix Template Library License,MTLL,,,https://spdx.org/licenses/MTLL.html
"Mulan Permissive Software License, Version 1",MulanPSL-1.0,,,https://spdx.org/licenses/MulanPSL-1.0.html
"Mulan Permissive Software License, Version 2",MulanPSL-2.0,,Y,https://spdx.org/licenses/MulanPSL-2.0.html
Multics License,Multics,,Y,https://spdx.org/licenses/Multics.html
Mup License,Mup,,,https://spdx.org/licenses/Mup.html
Nara Institute of Science and Technology License (2003),NAIST-2003,,,https://spdx.org/licenses/NAIST-2003.html
NASA Open Source Agreement 1.3,NASA-1.3,,Y,https://spdx.org/licenses/NASA-1.3.html
Naumen Public License,Naumen,,Y,https://spdx.org/licenses/Naumen.html
Net Boolean Public License v1,NBPL-1.0,,,https://spdx.org/licenses/NBPL-1.0.html
Non-Commercial Government Licence,NCGL-UK-2.0,,,https://spdx.org/licenses/NCGL-UK-2.0.html
University of Illinois/NCSA Open Source License,NCSA,Y,Y,https://spdx.org/licenses/NCSA.html
Net-SNMP License,Net-SNMP,,,https://spdx.org/licenses/Net-SNMP.html
NetCDF license,NetCDF,,,https://spdx.org/licenses/NetCDF.html
Newsletr License,Newsletr,,,https://spdx.org/licenses/Newsletr.html
Nethack General Public License,NGPL,,Y,https://spdx.org/licenses/NGPL.html
"NICTA Public Software License, Version 1.0",NICTA-1.0,,,https://spdx.org/licenses/NICTA-1.0.html
NIST Public Domain Notice,NIST-PD,,,https://spdx.org/licenses/NIST-PD.html
NIST Public Domain Notice with license fallback,NIST-PD-fallback,,,https://spdx.org/licenses/NIST-PD-fallback.html
Norwegian Licence for Open Government Data (NLOD) 1.0,NLOD-1.0,,,https://spdx.org/licenses/NLOD-1.0.html
Norwegian Licence for Open Government Data (NLOD) 2.0,NLOD-2.0,,,https://spdx.org/licenses/NLOD-2.0.html
No Limit Public License,NLPL,,,https://spdx.org/licenses/NLPL.html
Nokia Open Source License,Nokia,Y,Y,https://spdx.org/licenses/Nokia.html
Netizen Open Source License,NOSL,Y,,https://spdx.org/licenses/NOSL.html
Noweb License,Noweb,,,https://spdx.org/licenses/Noweb.html
Netscape Public License v1.0,NPL-1.0,Y,,https://spdx.org/licenses/NPL-1.0.html
Netscape Public License v1.1,NPL-1.1,Y,,https://spdx.org/licenses/NPL-1.1.html
Non-Profit Open Software License 3.0,NPOSL-3.0,,Y,https://spdx.org/licenses/NPOSL-3.0.html
NRL License,NRL,,,https://spdx.org/licenses/NRL.html
NTP License,NTP,,Y,https://spdx.org/licenses/NTP.html
NTP No Attribution,NTP-0,,,https://spdx.org/licenses/NTP-0.html
Open Use of Data Agreement v1.0,O-UDA-1.0,,,https://spdx.org/licenses/O-UDA-1.0.html
Open CASCADE Technology Public License,OCCT-PL,,,https://spdx.org/licenses/OCCT-PL.html
OCLC Research Public License 2.0,OCLC-2.0,,Y,https://spdx.org/licenses/OCLC-2.0.html
Open Data Commons Open Database License v1.0,ODbL-1.0,Y,,https://spdx.org/licenses/ODbL-1.0.html
Open Data Commons Attribution License v1.0,ODC-By-1.0,,,https://spdx.org/licenses/ODC-By-1.0.html
OFFIS License,OFFIS,,,https://spdx.org/licenses/OFFIS.html
SIL Open Font License 1.0,OFL-1.0,Y,,https://spdx.org/licenses/OFL-1.0.html
SIL Open Font License 1.0 with no Reserved Font Name,OFL-1.0-no-RFN,,,https://spdx.org/licenses/OFL-1.0-no-RFN.html
SIL Open Font License 1.0 with Reserved Font Name,OFL-1.0-RFN,,,https://spdx.org/licenses/OFL-1.0-RFN.html
SIL Open Font License 1.1,OFL-1.1,Y,Y,https://spdx.org/licenses/OFL-1.1.html
SIL Open Font License 1.1 with no Reserved Font Name,OFL-1.1-no-RFN,,Y,https://spdx.org/licenses/OFL-1.1-no-RFN.html
SIL Open Font License 1.1 with Reserved Font Name,OFL-1.1-RFN,,Y,https://spdx.org/licenses/OFL-1.1-RFN.html
"OGC Software License, Version 1.0",OGC-1.0,,,https://spdx.org/licenses/OGC-1.0.html
"Taiwan Open Government Data License, version 1.0",OGDL-Taiwan-1.0,,,https://spdx.org/licenses/OGDL-Taiwan-1.0.html
Open Government Licence - Canada,OGL-Canada-2.0,,,https://spdx.org/licenses/OGL-Canada-2.0.html
Open Government Licence v1.0,OGL-UK-1.0,,,https://spdx.org/licenses/OGL-UK-1.0.html
Open Government Licence v2.0,OGL-UK-2.0,,,https://spdx.org/licenses/OGL-UK-2.0.html
Open Government Licence v3.0,OGL-UK-3.0,,,https://spdx.org/licenses/OGL-UK-3.0.html
Open Group Test Suite License,OGTSL,,Y,https://spdx.org/licenses/OGTSL.html
Open LDAP Public License v1.1,OLDAP-1.1,,,https://spdx.org/licenses/OLDAP-1.1.html
Open LDAP Public License v1.2,OLDAP-1.2,,,https://spdx.org/licenses/OLDAP-1.2.html
Open LDAP Public License v1.3,OLDAP-1.3,,,https://spdx.org/licenses/OLDAP-1.3.html
Open LDAP Public License v1.4,OLDAP-1.4,,,https://spdx.org/licenses/OLDAP-1.4.html
Open LDAP Public License v2.0 (or possibly 2.0A and 2.0B),OLDAP-2.0,,,https://spdx.org/licenses/OLDAP-2.0.html
Open LDAP Public License v2.0.1,OLDAP-2.0.1,,,https://spdx.org/licenses/OLDAP-2.0.1.html
Open LDAP Public License v2.1,OLDAP-2.1,,,https://spdx.org/licenses/OLDAP-2.1.html
Open LDAP Public License v2.2,OLDAP-2.2,,,https://spdx.org/licenses/OLDAP-2.2.html
Open LDAP Public License v2.2.1,OLDAP-2.2.1,,,https://spdx.org/licenses/OLDAP-2.2.1.html
Open LDAP Public License 2.2.2,OLDAP-2.2.2,,,https://spdx.org/licenses/OLDAP-2.2.2.html
Open LDAP Public License v2.3,OLDAP-2.3,Y,,https://spdx.org/licenses/OLDAP-2.3.html
Open LDAP Public License v2.4,OLDAP-2.4,,,https://spdx.org/licenses/OLDAP-2.4.html
Open LDAP Public License v2.5,OLDAP-2.5,,,https://spdx.org/licenses/OLDAP-2.5.html
Open LDAP Public License v2.6,OLDAP-2.6,,,https://spdx.org/licenses/OLDAP-2.6.html
Open LDAP Public License v2.7,OLDAP-2.7,Y,,https://spdx.org/licenses/OLDAP-2.7.html
Open LDAP Public License v2.8,OLDAP-2.8,,Y,https://spdx.org/licenses/OLDAP-2.8.html
Open Market License,OML,,,https://spdx.org/licenses/OML.html
OpenPBS v2.3 Software License,OpenPBS-2.3,,,https://spdx.org/licenses/OpenPBS-2.3.html
OpenSSL License,OpenSSL,Y,,https://spdx.org/licenses/OpenSSL.html
Open Public License v1.0,OPL-1.0,,,https://spdx.org/licenses/OPL-1.0.html
Open Publication License v1.0,OPUBL-1.0,,,https://spdx.org/licenses/OPUBL-1.0.html
OSET Public License version 2.1,OSET-PL-2.1,,Y,https://spdx.org/licenses/OSET-PL-2.1.html
Open Software License 1.0,OSL-1.0,Y,Y,https://spdx.org/licenses/OSL-1.0.html
Open Software License 1.1,OSL-1.1,Y,,https://spdx.org/licenses/OSL-1.1.html
Open Software License 2.0,OSL-2.0,Y,Y,https://spdx.org/licenses/OSL-2.0.html
Open Software License 2.1,OSL-2.1,Y,Y,https://spdx.org/licenses/OSL-2.1.html
Open Software License 3.0,OSL-3.0,Y,Y,https://spdx.org/licenses/OSL-3.0.html
The Parity Public License 6.0.0,Parity-6.0.0,,,https://spdx.org/licenses/Parity-6.0.0.html
The Parity Public License 7.0.0,Parity-7.0.0,,,https://spdx.org/licenses/Parity-7.0.0.html
Open Data Commons Public Domain Dedication & License 1.0,PDDL-1.0,,,https://spdx.org/licenses/PDDL-1.0.html
PHP License v3.0,PHP-3.0,,Y,https://spdx.org/licenses/PHP-3.0.html
PHP License v3.01,PHP-3.01,Y,Y,https://spdx.org/licenses/PHP-3.01.html
Plexus Classworlds License,Plexus,,,https://spdx.org/licenses/Plexus.html
PolyForm Noncommercial License 1.0.0,PolyForm-Noncommercial-1.0.0,,,https://spdx.org/licenses/PolyForm-Noncommercial-1.0.0.html
PolyForm Small Business License 1.0.0,PolyForm-Small-Business-1.0.0,,,https://spdx.org/licenses/PolyForm-Small-Business-1.0.0.html
PostgreSQL License,PostgreSQL,,Y,https://spdx.org/licenses/PostgreSQL.html
Python Software Foundation License 2.0,PSF-2.0,,,https://spdx.org/licenses/PSF-2.0.html
psfrag License,psfrag,,,https://spdx.org/licenses/psfrag.html
psutils License,psutils,,,https://spdx.org/licenses/psutils.html
Python License 2.0,Python-2.0,Y,Y,https://spdx.org/licenses/Python-2.0.html
Python License 2.0.1,Python-2.0.1,,,https://spdx.org/licenses/Python-2.0.1.html
Qhull License,Qhull,,,https://spdx.org/licenses/Qhull.html
Q Public License 1.0,QPL-1.0,Y,Y,https://spdx.org/licenses/QPL-1.0.html
Q Public License 1.0 - INRIA 2004 variant,QPL-1.0-INRIA-2004,,,https://spdx.org/licenses/QPL-1.0-INRIA-2004.html
Rdisc License,Rdisc,,,https://spdx.org/licenses/Rdisc.html
Red Hat eCos Public License v1.1,RHeCos-1.1,,,https://spdx.org/licenses/RHeCos-1.1.html
Reciprocal Public License 1.1,RPL-1.1,,Y,https://spdx.org/licenses/RPL-1.1.html
Reciprocal Public License 1.5,RPL-1.5,,Y,https://spdx.org/licenses/RPL-1.5.html
RealNetworks Public Source License v1.0,RPSL-1.0,Y,Y,https://spdx.org/licenses/RPSL-1.0.html
RSA Message-Digest License,RSA-MD,,,https://spdx.org/licenses/RSA-MD.html
Ricoh Source Code Public License,RSCPL,,Y,https://spdx.org/licenses/RSCPL.html
Ruby License,Ruby,Y,,https://spdx.org/licenses/Ruby.html
Sax Public Domain Notice,SAX-PD,,,https://spdx.org/licenses/SAX-PD.html
Saxpath License,Saxpath,,,https://spdx.org/licenses/Saxpath.html
SCEA Shared Source License,SCEA,,,https://spdx.org/licenses/SCEA.html
Scheme Language Report License,SchemeReport,,,https://spdx.org/licenses/SchemeReport.html
Sendmail License,Sendmail,,,https://spdx.org/licenses/Sendmail.html
Sendmail License 8.23,Sendmail-8.23,,,https://spdx.org/licenses/Sendmail-8.23.html
SGI Free Software License B v1.0,SGI-B-1.0,,,https://spdx.org/licenses/SGI-B-1.0.html
SGI Free Software License B v1.1,SGI-B-1.1,,,https://spdx.org/licenses/SGI-B-1.1.html
SGI Free Software License B v2.0,SGI-B-2.0,Y,,https://spdx.org/licenses/SGI-B-2.0.html
Solderpad Hardware License v0.5,SHL-0.5,,,https://spdx.org/licenses/SHL-0.5.html
"Solderpad Hardware License, Version 0.51",SHL-0.51,,,https://spdx.org/licenses/SHL-0.51.html
Simple Public License 2.0,SimPL-2.0,,Y,https://spdx.org/licenses/SimPL-2.0.html
Sun Industry Standards Source License v1.1,SISSL,Y,Y,https://spdx.org/licenses/SISSL.html
Sun Industry Standards Source License v1.2,SISSL-1.2,,,https://spdx.org/licenses/SISSL-1.2.html
Sleepycat License,Sleepycat,Y,Y,https://spdx.org/licenses/Sleepycat.html
Standard ML of New Jersey License,SMLNJ,Y,,https://spdx.org/licenses/SMLNJ.html
Secure Messaging Protocol Public License,SMPPL,,,https://spdx.org/licenses/SMPPL.html
SNIA Public License 1.1,SNIA,,,https://spdx.org/licenses/SNIA.html
snprintf License,snprintf,,,https://spdx.org/licenses/snprintf.html
Spencer License 86,Spencer-86,,,https://spdx.org/licenses/Spencer-86.html
Spencer License 94,Spencer-94,,,https://spdx.org/licenses/Spencer-94.html
Spencer License 99,Spencer-99,,,https://spdx.org/licenses/Spencer-99.html
Sun Public License v1.0,SPL-1.0,Y,Y,https://spdx.org/licenses/SPL-1.0.html
SSH OpenSSH license,SSH-OpenSSH,,,https://spdx.org/licenses/SSH-OpenSSH.html
SSH short notice,SSH-short,,,https://spdx.org/licenses/SSH-short.html
"Server Side Public License, v 1",SSPL-1.0,,,https://spdx.org/licenses/SSPL-1.0.html
SugarCRM Public License v1.1.3,SugarCRM-1.1.3,,,https://spdx.org/licenses/SugarCRM-1.1.3.html
SunPro License,SunPro,,,https://spdx.org/licenses/SunPro.html
Scheme Widget Library (SWL) Software License Agreement,SWL,,,https://spdx.org/licenses/SWL.html
Symlinks License,Symlinks,,,https://spdx.org/licenses/Symlinks.html
TAPR Open Hardware License v1.0,TAPR-OHL-1.0,,,https://spdx.org/licenses/TAPR-OHL-1.0.html
TCL/TK License,TCL,,,https://spdx.org/licenses/TCL.html
TCP Wrappers License,TCP-wrappers,,,https://spdx.org/licenses/TCP-wrappers.html
TMate Open Source License,TMate,,,https://spdx.org/licenses/TMate.html
TORQUE v2.5+ Software License v1.1,TORQUE-1.1,,,https://spdx.org/licenses/TORQUE-1.1.html
Trusster Open Source License,TOSL,,,https://spdx.org/licenses/TOSL.html
Time::ParseDate License,TPDL,,,https://spdx.org/licenses/TPDL.html
THOR Public License 1.0,TPL-1.0,,,https://spdx.org/licenses/TPL-1.0.html
Text-Tabs+Wrap License,TTWL,,,https://spdx.org/licenses/TTWL.html
Technische Universitaet Berlin License 1.0,TU-Berlin-1.0,,,https://spdx.org/licenses/TU-Berlin-1.0.html
Technische Universitaet Berlin License 2.0,TU-Berlin-2.0,,,https://spdx.org/licenses/TU-Berlin-2.0.html
UCAR License,UCAR,,,https://spdx.org/licenses/UCAR.html
Upstream Compatibility License v1.0,UCL-1.0,,Y,https://spdx.org/licenses/UCL-1.0.html
Unicode License Agreement - Data Files and Software (2015),Unicode-DFS-2015,,,https://spdx.org/licenses/Unicode-DFS-2015.html
Unicode License Agreement - Data Files and Software (2016),Unicode-DFS-2016,,Y,https://spdx.org/licenses/Unicode-DFS-2016.html
Unicode Terms of Use,Unicode-TOU,,,https://spdx.org/licenses/Unicode-TOU.html
The Unlicense,Unlicense,Y,Y,https://spdx.org/licenses/Unlicense.html
Universal Permissive License v1.0,UPL-1.0,Y,Y,https://spdx.org/licenses/UPL-1.0.html
Vim License,Vim,Y,,https://spdx.org/licenses/Vim.html
VOSTROM Public License for Open Source,VOSTROM,,,https://spdx.org/licenses/VOSTROM.html
Vovida Software License v1.0,VSL-1.0,,Y,https://spdx.org/licenses/VSL-1.0.html
W3C Software Notice and License (2002-12-31),W3C,Y,Y,https://spdx.org/licenses/W3C.html
W3C Software Notice and License (1998-07-20),W3C-19980720,,,https://spdx.org/licenses/W3C-19980720.html
W3C Software Notice and Document License (2015-05-13),W3C-20150513,,,https://spdx.org/licenses/W3C-20150513.html
w3m License,w3m,,,https://spdx.org/licenses/w3m.html
Sybase Open Watcom Public License 1.0,Watcom-1.0,,Y,https://spdx.org/licenses/Watcom-1.0.html
Wsuipa License,Wsuipa,,,https://spdx.org/licenses/Wsuipa.html
Do What The F*ck You Want To Public License,WTFPL,Y,,https://spdx.org/licenses/WTFPL.html
X11 License,X11,Y,,https://spdx.org/licenses/X11.html
X11 License Distribution Modification Variant,X11-distribute-modifications-variant,,,https://spdx.org/licenses/X11-distribute-modifications-variant.html
Xerox License,Xerox,,,https://spdx.org/licenses/Xerox.html
XFree86 License 1.1,XFree86-1.1,Y,,https://spdx.org/licenses/XFree86-1.1.html
xinetd License,xinetd,Y,,https://spdx.org/licenses/xinetd.html
xlock License,xlock,,,https://spdx.org/licenses/xlock.html
X.Net License,Xnet,,Y,https://spdx.org/licenses/Xnet.html
XPP License,xpp,,,https://spdx.org/licenses/xpp.html
XSkat License,XSkat,,,https://spdx.org/licenses/XSkat.html
Yahoo! Public License v1.0,YPL-1.0,,,https://spdx.org/licenses/YPL-1.0.html
Yahoo! Public License v1.1,YPL-1.1,Y,,https://spdx.org/licenses/YPL-1.1.html
Zed License,Zed,,,https://spdx.org/licenses/Zed.html
Zend License v2.0,Zend-2.0,Y,,https://spdx.org/licenses/Zend-2.0.html
Zimbra Public License v1.3,Zimbra-1.3,Y,,https://spdx.org/licenses/Zimbra-1.3.html
Zimbra Public License v1.4,Zimbra-1.4,,,https://spdx.org/licenses/Zimbra-1.4.html
zlib License,Zlib,Y,Y,https://spdx.org/licenses/Zlib.html
zlib/libpng License with Acknowledgement,zlib-acknowledgement,,,https://spdx.org/licenses/zlib-acknowledgement.html
Zope Public License 1.1,ZPL-1.1,,,https://spdx.org/licenses/ZPL-1.1.html
Zope Public License 2.0,ZPL-2.0,Y,Y,https://spdx.org/licenses/ZPL-2.0.html
Zope Public License 2.1,ZPL-2.1,Y,Y,https://spdx.org/licenses/ZPL-2.1.html
